id,title,text
11,"Mary, mother of Jesus","Mary resided in ""her own house""[Lk.1:56] in Nazareth in Galilee, possibly with her parents, and during her betrothal — the first stage of a Jewish marriage — the angel Gabriel announced to her that she was to be the mother of the promised Messiah by conceiving him through the Holy Spirit, and she responded, ""I am the handmaid of the Lord. Let it be done unto me according to your word."" After a number of months, when Joseph was told of her conception in a dream by ""an angel of the Lord"", he planned to divorce her; but the angel told him to not hesitate to take her as his wife, which Joseph did, thereby formally completing the wedding rites.[Mt 1:18-25]"
12,"Mary, mother of Jesus","According to the apocryphal Gospel of James, Mary was the daughter of Saint Joachim and Saint Anne. Before Mary's conception, Anne had been barren and was far advanced in years. Mary was given to service as a consecrated virgin in the Temple in Jerusalem when she was three years old, much like Hannah took Samuel to the Tabernacle as recorded in the Old Testament. Some apocryphal accounts state that at the time of her betrothal to Joseph, Mary was 12–14 years old, and he was thirty years old, but such accounts are unreliable."
13,"Mary, mother of Jesus","Ephesus is a cultic centre of Mary, the site of the first Church dedicated to her and the rumoured place of her death. Ephesus was previously a centre for worship of Artemis a virgin goddess. The Temple of Artemis at Ephesus being regarded as one of the Seven Wonders of the Ancient World The cult of Mary was furthered by Queen Theodora in the 6th Century. According to William E. Phipps, in the book Survivals of Roman Religion ""Gordon Laing argues convincingly that the worship of Artemis as both virgin and mother at the grand Ephesian temple contributed to the veneration of Mary."""
14,Trillian (character),"Tricia Marie McMillan, also known as Trillian Astra, is a fictional character from Douglas Adams' series The Hitchhiker's Guide to the Galaxy. She is most commonly referred to simply as ``Trillian '', a modification of her birth name, which she adopted because it sounded more`` space - like''. According to the movie version, her middle name is Marie. Physically, she is described as ``a slim, darkish humanoid, with long waves of black hair, a full mouth, an odd little knob of a nose and ridiculously brown eyes, ''looking`` vaguely Arabic.''"
15,Birth certificate,"In the U.S., the issuance of birth certificates is a function of the Vital Records Office of the states, capital district, territories and former territories. Birth in the U.S. establishes automatic eligibility for American citizenship, so a birth certificate from a local authority is commonly provided to the federal government to obtain a U.S. passport. However, the U.S. State Department does issue a Consular Report of Birth Abroad for children born to U.S. citizens (who are also eligible for citizenship), including births on military bases in foreign territory."
16,Constance Marie,"Constance Marie Lopez (born September 9, 1965) known professionally as Constance Marie, is an American actress. She is known for her role as Angie Lopez on George Lopez (2002 -- 2007) and her role as Marcela Quintanilla (mother of Selena) in the 1997 film Selena. She portrayed Regina Vasquez on the ABC Family / Freeform drama Switched at Birth (2011 -- 2017)."
17,Edward VIII,"Edward was born on 23 June 1894 at White Lodge, Richmond Park, on the outskirts of London during the reign of his great-grandmother Queen Victoria. He was the eldest son of the Duke and Duchess of York (later King George V and Queen Mary). His father was the son of the Prince and Princess of Wales (later King Edward VII and Queen Alexandra). His mother was the eldest daughter of the Duke and Duchess of Teck (Francis and Mary Adelaide). At the time of his birth, he was third in the line of succession to the throne, behind his grandfather and father."
18,Ecce Ancilla Domini,"Ecce Ancilla Domini (Latin: ""Behold the handmaiden of the Lord""), or The Annunciation, is an oil painting by the English artist Dante Gabriel Rossetti, first painted in 1850 and now in Tate Britain in London. The Latin title is a quotation from the Vulgate text of the first chapter of the Gospel of Saint Luke, describing the Annunciation, where Mary accepts the message brought to her by the Angel Gabriel that she would give birth to a child (Jesus) by God."
19,Princess Marie of Saxe-Weimar-Eisenach (1808–1877),"Princess Marie of Saxe-Weimar-Eisenach (3 February 1808 in Weimar – 18 January 1877 in Berlin) was a princess of Saxe-Weimar-Eisenach, by birth, and, by marriage, a princess of Prussia. She was the daughter of Charles Frederick, Grand Duke of Saxe-Weimar-Eisenach and Grand Duchess Maria Pavlovna of Russia."
20,"Mary, mother of Jesus","Orthodox Christianity includes a large number of traditions regarding the Ever Virgin Mary, the Theotokos. The Orthodox believe that she was and remained a virgin before and after Christ's birth. The Theotokia (i.e., hymns to the Theotokos) are an essential part of the Divine Services in the Eastern Church and their positioning within the liturgical sequence effectively places the Theotokos in the most prominent place after Christ. Within the Orthodox tradition, the order of the saints begins with: The Theotokos, Angels, Prophets, Apostles, Fathers, Martyrs, etc. giving the Virgin Mary precedence over the angels. She is also proclaimed as the ""Lady of the Angels""."
21,Wild Geese II,"Wild Geese II is a 1985 British action-thriller film directed by Peter Hunt, based on the 1982 novel ""The Square Circle"" by Daniel Carney, in which a group of mercenaries are hired to spring Rudolf Hess from Spandau Prison in Berlin. The film is a sequel to the 1978 film ""The Wild Geese"", which was also produced by Euan Lloyd and adapted from a novel by Carney. Actor Richard Burton, who starred in the first film as Colonel Allen Faulkner, was planning to reprise his role for the sequel, but he died days before filming began. The sequel has Faulkner's brother (played by Edward Fox) as one of the mercenaries. No characters from the original are featured in the sequel."
22,A Daughter of the Gods,"A Daughter of the Gods was a 1916 American silent fantasy drama film written and directed by Herbert Brenon. The film was controversial because of the sequences of what was regarded as superfluous nudity by the character Anitia, played by Australian swimming star Annette Kellermann. The scene is regarded as the first complete nude scene by a major star, which occurred during a waterfall sequence, though most of Kellerman's body is covered by her long hair. It was filmed by Fox Film Corporation in Kingston, Jamaica, where huge sets were constructed, and directed by Herbert Brenon."
23,Key Exchange,"Key Exchange is a 1985 American romantic comedy film directed by Barnet Kellman and starring Brooke Adams as Lisa. The film is based on a play by Kevin Wade. The film was released by 20th Century Fox on August 14, 1985."
24,Tina Majorino,"In 2012, she reprised her role as Deb in the animated TV version of Napoleon Dynamite. She was also seen playing the role of the vampire Molly in Season 5 of the HBO television series True Blood, an uncredited role as a pregnant woman in the Fox show, Raising Hope, in an episode titled ``Tarot Cards, ''and the role of intern Dr. Heather Brooks in Season 9 of the ABC series Grey's Anatomy, with her character being killed off in the two - part premiere of Season 10. In 2014 she appeared in the Veronica Mars film as her character Mac, a project financed by fans through Kickstarter."
25,A Touch of Spice,"is a 2003 Greek film directed by Tassos Boulmetis and starring Georges Corraface as the character of the adult Fanis Iakovides. The character of Fanis Iakovides as a child is played by Markos Osse and the supporting role of Fanis's grandfather, Vassilis, is played by Tassos Bandis."
26,Br'er Fox and Br'er Bear,"Br'er Fox and Br'er Bear (also spelled Brer Fox and Brer Bear, ) are fictional characters from the Uncle Remus folktales adapted and compiled by Joel Chandler Harris."
27,Basset Hound,"Basset Hound Tan and white Basset Hound Common nicknames Basset, Hush Puppy Origin Great Britain France (hide) Traits Weight male: 25 -- 34 kg (55 -- 75 lb) female: 20 -- 29 kg (45 -- 65 lb) Height male: 30 -- 38 cm (12 -- 15 in) female: 28 -- 36 cm (11 -- 14 in) Coat Smooth, short and close Colour Generally black, white and tan (tri-colour) or tan / lemon and white (bi-colour); but any recognised hound colour acceptable. Litter size 6 -- 8 puppies Life span Median 10 -- 12 years (hide) Classification / standards FCI Group 6, Section 1.3 Scenthounds: Small # 163 standard AKC Hound standard ANKC Group 4 (Hounds) standard CKC Group 2 (Hounds) standard KC (UK) Hound standard NZKC Hounds standard UKC Scenthound standard Domestic dog (Canis lupus familiaris)"
28,Pensacola Flyers,"The Pensacola Flyers were an American professional indoor soccer team based in Pensacola, Florida. They played their home games in the Pensacola Civic Center. They were members of the Eastern Indoor Soccer League and played only during the 1998 season. During the 1997 season, the team played at the Tupelo Coliseum in Tupelo, Mississippi, as the Tupelo Hound Dogs then relocated to Pensacola during the offseason."
29,Fantastic Four in film,"Constantin Film bought the film rights for the characters in 1986. A low - budget film was produced in 1992 by New Horizon Studios owned by Roger Corman. In 2004, with a distribution deal from 20th Century Fox, a second Fantastic Four film entered production. Fantastic Four was released in 2005 and the sequel Fantastic Four: Rise of the Silver Surfer was released in 2007. Both films received mixed to negative reviews from critics, yet earned a combined US $619 million worldwide at the box office. Due to 20th Century Fox's disappointment with the box - office return of Fantastic Four: Rise of the Silver Surfer, a potential third Fantastic Four film and a Silver Surfer spin - off film were canceled."
30,The Fox and the Hound,"The Fox and the Hound is a 1981 American animated drama film produced by Walt Disney Productions and loosely based on the novel of the same name by Daniel P. Mannix. The 24th Disney animated feature film, the film tells the story of two unlikely friends, a red fox named Tod and a hound dog named Copper, who struggle to preserve their friendship despite their emerging instincts and the surrounding social pressures demanding them to be adversaries. Directed by Ted Berman, Richard Rich, and Art Stevens, the film features the voices of Mickey Rooney, Kurt Russell, Pearl Bailey, Jack Albertson, Sandy Duncan, Jeanette Nolan, Pat Buttram, John Fiedler, John McIntire, Dick Bakalyan, Paul Winchell, Keith Mitchell, and Corey Feldman."
31,Martin Riggs,"Martin Riggs is a fictional character from the ""Lethal Weapon"" film series. Riggs was originally played by Mel Gibson in all four films from 1987 to 1998, and later by Clayne Crawford in the Fox television series from 2016 to 2018."
32,List of Carry On films cast members,"Kenneth Williams (25 films, and co-presenting That's Carry On!) played a range of character types, nearly always a lead character. Early roles were rather strait - laced, he then sometimes played his snide character: quite slimy and smarmy with a distinctive nasal voice. Later the haughty, proud and easily outraged elitist became more frequent and Williams' best known character type. Williams sometimes played characters of other nationalities, such as in Up the Khyber. In some roles, when not actually playing his role in snide mode, Williams might deliver a single joke using his snide voice. A running gag in many of the films was that Williams' character would be embroiled in an extra-marital affair with that of Hattie Jacques -- this plot device was used to greatest effect in the hospital based films, which gave rise to Williams' famous catchphrase ``ohhh Matron! ''."
33,Undead and Unappreciated,"Undead and Unappreciated is the third novel in the Undead series by MaryJanice Davidson. The breezily written paranormal romance novel is told from the point of view of Betsy Taylor, reluctant Vampire Queen and not-so-reluctant shoe-hound, and introduces a major character to the series: Laura, Betsy's half-sister and the daughter of the Devil herself."
34,The Fox and the Hound,Mickey Rooney as Tod Kurt Russell as Copper Pearl Bailey as Big Mama Jack Albertson as Amos Slade Sandy Duncan as Vixey Jeanette Nolan as Widow Tweed Pat Buttram as Chief John Fiedler as The Porcupine John McIntire as The Badger Dick Bakalyan as Dinky Paul Winchell as Boomer Keith Coogan as Young Tod Corey Feldman as Young Copper
35,Charlie Chan in Shanghai,Charlie Chan in Shanghai is the ninth Charlie Chan film produced by Fox with the title character played by Warner Oland.
36,What-a-Mess,"What-a-Mess is a series of children's books written by British comedy writer Frank Muir and illustrated by Joseph Wright. The title character is a dishevelled (hence his nickname), accident-prone Afghan Hound puppy, whose real name is Prince Amir of Kinjan."
37,Tom Ellis (actor),Thomas John Ellis (born 17 November 1978) is a Welsh actor. He is known for playing the title character Lucifer in Fox's Lucifer and as Gary Preston in Miranda.
38,The Hateful Eight,"The Hateful Eight (often marketed as The H8ful Eight) is a 2015 American western thriller film written and directed by Quentin Tarantino. It stars Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins, Demián Bichir, Tim Roth, Michael Madsen, and Bruce Dern as eight strangers who seek refuge from a blizzard in a stagecoach stopover some time after the American Civil War."
39,The Fox and the Hound,"The Fox and the Hound is a 1981 American animated drama film produced by Walt Disney Productions and loosely based on the novel of the same name by Daniel P. Mannix. The film tells the story of two unlikely friends, a red fox named Tod and a hound dog named Copper, who struggle to preserve their friendship despite their emerging instincts and the surrounding social pressures demanding them to be adversaries. Directed by Ted Berman, Richard Rich and Art Stevens, the film included the voices of Mickey Rooney, Kurt Russell, Keith Mitchell and Corey Feldman."
40,Roger Murtaugh,"Roger Murtaugh is a fictional character in the ""Lethal Weapon"" film series. Murtaugh was originally played by Danny Glover in all four films from 1987 to 1998, and later by Damon Wayans in the Fox television series from 2016 to 2019."
41,Nissan Rogue,"The Nissan Rogue is a compact crossover SUV produced by the Japanese automaker Nissan. It made its debut in October 2007 for the 2008 model year. The current model, the second generation launched in 2013, is the North American version of the Nissan X-Trail. It is currently Nissan's best - selling vehicle in the United States."
42,Acura EL,"The Acura EL is a subcompact executive car that was built at Honda's Alliston, Ontario, plant, and also the first Acura built in Canada. The EL is a badge-engineered Honda Civic with a higher level of features."
43,IPod,"BMW released the first iPod automobile interface, allowing drivers of newer BMW vehicles to control an iPod using either the built-in steering wheel controls or the radio head-unit buttons. Apple announced in 2005 that similar systems would be available for other vehicle brands, including Mercedes-Benz, Volvo, Nissan, Toyota, Alfa Romeo, Ferrari, Acura, Audi, Honda, Renault, Infiniti and Volkswagen. Scion offers standard iPod connectivity on all their cars."
44,Jonga,The Jonga was a Nissan designed vehicle used by the Indian Army. Jonga was an acronym for Jabalpur Ordnance aNd Guncarriage Assembly.
45,Scion bbX,"The Scion bbX was first concept car to be revealed by Toyota for its daughter company, Scion. The concept was first shown at the New York International Auto Show in 2003. As shown at the motor show, the bbX is very similar to the design of the Scion xB, sold for two generations from 2003 to 2015."
46,Infiniti J30,"The Infiniti J30, or Nissan Leopard J Ferie in Japan, was a rear wheel drive luxury car. The J30 went into production on April 7, 1992 as a 1993 model to replace the M30 (which was a coupe), and was launched in the United States after its competitor, the Lexus GS. The car was designed to slot between the smaller G20 and the larger Q45, as Infiniti's first mid-size sedan to compete directly with the Acura Legend. Also, it was fairly small but featured rounded styling uncharacteristic of the crowded executive car class, that is now reminiscent of a four-door coupé. Chief designer for the J30 was Jerry Hirshberg, president of Nissan Design International (NDI) and exterior designer Doug Wilson in 1988-1989. Design work was frozen in 1989. In a promotional video produced in 1994, it was referred to as a ""personal luxury sedan"" as attempt to define it as a four-door coupé. It has the round looks of the Nissan Altima/Bluebird U13."
47,Scion xD,"The Scion xD is a five-door subcompact hatchback marketed in the U.S. and Canada by Japanese manufacturer Toyota beginning with the 2008 model year — replacing the xA. The Scion xD and the second generation xB were first shown to the public on February 8, 2007 at the Chicago Auto Show. The xD appeared in Scion showrooms in mid-2007 in the USA and in 2011 for Canada. The Scion xD was discontinued in 2014, and was succeeded by the Toyota C-HR in 2017."
48,1973 oil crisis,"Some buyers lamented the small size of the first Japanese compacts, and both Toyota and Nissan (then known as Datsun) introduced larger cars such as the Toyota Corona Mark II, the Toyota Cressida, the Mazda 616 and Datsun 810, which added passenger space and amenities such as air conditioning, power steering, AM-FM radios, and even power windows and central locking without increasing the price of the vehicle. A decade after the 1973 oil crisis, Honda, Toyota and Nissan, affected by the 1981 voluntary export restraints, opened US assembly plants and established their luxury divisions (Acura, Lexus and Infiniti, respectively) to distinguish themselves from their mass-market brands."
49,Norfolk Assembly,"Norfolk Assembly was a Ford manufacturing plant that opened on April 20, 1925 on the Elizabeth River, near downtown Norfolk, Virginia -- closing in 2007."
50,Seattle,"Seattle remained the corporate headquarters of Boeing until 2001, when the company separated its headquarters from its major production facilities; the headquarters were moved to Chicago. The Seattle area is still home to Boeing's Renton narrow-body plant (where the 707, 720, 727, and 757 were assembled, and the 737 is assembled today) and Everett wide-body plant (assembly plant for the 747, 767, 777, and 787). The company's credit union for employees, BECU, remains based in the Seattle area, though it is now open to all residents of Washington."
51,Janesville Assembly Plant,"Janesville Assembly Plant is a former automobile factory owned by General Motors located in Janesville, Wisconsin. Opened in 1919, it was the oldest operating GM plant when it was largely idled in December 2008, and ceased all remaining production on April 23, 2009. The demolition of the plant began in April 2018."
52,Toyota,"By the early 1960s, the US had begun placing stiff import tariffs on certain vehicles. The so - called ``chicken tax ''of 1964 placed a 25% tax on imported light trucks. In response to the tariff, Toyota, Nissan Motor Co. and Honda Motor Co. began building plants in the US by the early 1980s."
53,Acura RL,"The first-generation Acura RL was a rebadged version of the third-generation Honda Legend, and was first introduced to the North American market in 1996, to replace the second-generation Acura Legend. The second-generation Acura RL was a rebadged version of the fourth-generation Honda Legend, introduced to the North American market in September 2004, as a 2005 model. This iteration of the RL received an extensive mid-generational facelift for the 2009 model year, and a further update for 2011. The third-generation debuted for the 2014 model year as the Acura RLX."
54,Scion xB,"The Scion xB is a compact car (subcompact car in its first generation) made by Toyota for the United States market and sold under their youth-oriented Scion brand. It is a box-shaped, 5-door hatchback."
55,Mercedes-Benz T2,"The Mercedes-Benz T2 was a transporter manufactured by Daimler-Benz. The T2 is also known as the ""Düsseldorf transporter"", since it was built in Düsseldorf from 1967 on. The third series, built from 1996 at Ludwigsfelde, was branded the Mercedes-Benz Vario. Some T2s were assembled by Mercedes-Benz España in their Alcobendas assembly plant."
56,Datsun,"Datsun (, ) is an automobile brand owned by Nissan. Datsun's original production run began in 1931. From 1958 to 1986, only vehicles exported by Nissan were identified as Datsun. By 1986 Nissan had phased out the Datsun name, but re-launched it in June 2013 as the brand for low-cost vehicles manufactured for emerging markets."
57,Infiniti Kuraza,"The Infiniti Kuraza is a concept car designed by Nissan, under the Infiniti brand at the Nissan Technical Center in Atsugi, Japan, headed by product design director Kojii Nagano. It made its world debut in Detroit, at the 2005 North American International Auto Show. The Infiniti Kuraza ultimately never made it to production."
58,Acura Legend,"The Acura Legend is a mid-size luxury/executive car manufactured by Honda. It was sold in the U.S., Canada, and parts of China under Honda's luxury brand, Acura, from 1985 to 1995, as both a sedan, which was classified as a full-size car, and a coupe, which was classified as a mid-size car (similar to how the Honda Accord is set up today). It was the first flagship sedan sold under the Acura nameplate, until being renamed in 1996 as the Acura 3.5RL. The 3.5RL was the North American version of the KA9 series Honda Legend."
59,Acura RLX,"The Acura RLX is a full-size luxury sedan manufactured by Honda and sold under their Acura division, released in 2013. Succeeding the Acura RL, the RLX offers two versions, a front-wheel drive base model equipped with Acura's Precision All-Wheel Steer (P-AWS) four-wheel steering system, and a hybrid variant featuring SH-AWD that serves as Acura's flagship. The JDM version, the Honda Legend, is only offered with the SH-AWD powertrain."
60,Acura RL,"The Acura RL is a mid-sized / executive luxury car that was manufactured by the Acura division of Honda for the 1996–2012 model years over two generations. The RL was the flagship of the marque, having succeeded the Acura Legend, and was replaced in 2013 by the Acura RLX. All models of the Legend, RL and RLX lines have been adapted from the Japanese domestic market Honda Legend. The model name ""RL"" is an abbreviation for ""Refined Luxury."""
61,Military history of the United States,"The Persian Gulf War was a conflict between Iraq and a coalition force of 34 nations led by the United States. The lead up to the war began with the Iraqi invasion of Kuwait in August 1990 which was met with immediate economic sanctions by the United Nations against Iraq. The coalition commenced hostilities in January 1991, resulting in a decisive victory for the U.S. led coalition forces, which drove Iraqi forces out of Kuwait with minimal coalition deaths. Despite the low death toll, over 180,000 US veterans would later be classified as ""permanently disabled"" according to the US Department of Veterans Affairs (see Gulf War Syndrome). The main battles were aerial and ground combat within Iraq, Kuwait and bordering areas of Saudi Arabia. Land combat did not expand outside of the immediate Iraq/Kuwait/Saudi border region, although the coalition bombed cities and strategic targets across Iraq, and Iraq fired missiles on Israeli and Saudi cities."
62,Iran,"Iran (/aɪˈræn/ or i/ɪˈrɑːn/; Persian: Irān – ایران‎‎ [ʔiːˈɾɒːn] ( listen)), also known as Persia (/ˈpɜːrʒə/ or /ˈpɜːrʃə/), officially the Islamic Republic of Iran (جمهوری اسلامی ایران – Jomhuri ye Eslāmi ye Irān [d͡ʒomhuːˌɾije eslɒːˌmije ʔiːˈɾɒːn]), is a sovereign state in Western Asia. It is bordered to the northwest by Armenia, the de facto Nagorno-Karabakh Republic, and Azerbaijan; to the north by Kazakhstan and Russia across the Caspian Sea; to the northeast by Turkmenistan; to the east by Afghanistan and Pakistan; to the south by the Persian Gulf and the Gulf of Oman; and to the west by Turkey and Iraq. Comprising a land area of 1,648,195 km2 (636,372 sq mi), it is the second-largest country in the Middle East and the 18th-largest in the world. With 78.4 million inhabitants, Iran is the world's 17th-most-populous country. It is the only country that has both a Caspian Sea and an Indian Ocean coastline. Iran has long been of geostrategic importance because of its central location in Eurasia and Western Asia, and its proximity to the Strait of Hormuz."
63,Partition of the Ottoman Empire,"On the Arabian Peninsula, the Arabs were able to establish a number of independent states. In 1916 Hussein bin Ali, Sharif of Mecca, established the Kingdom of Hejaz, while the Emirate of Riyadh was transformed into the Sultanate of Nejd. In 1926 the Kingdom of Nejd and Hejaz was formed, which in 1932 became the kingdom of Saudi Arabia. The Mutawakkilite Kingdom of Yemen became independent in 1918, while the Arab States of the Persian Gulf became de facto British protectorates, with some internal autonomy."
64,Labanoras Regional Park,"Labanoras Regional Park, established in 1992, is located 80 kilometers northeast of Lithuania's capital, Vilnius. Covering 553 hectares, it is the largest regional park in the country."
65,Israel,"Israel (/ˈɪzreɪəl/ or /ˈɪzriːəl/; Hebrew: יִשְׂרָאֵל‎ Yisrā'el; Arabic: إِسْرَائِيل‎ Isrāʼīl), officially the State of Israel (Hebrew: מְדִינַת יִשְׂרָאֵל‎ Medīnat Yisrā'el [mediˈnat jisʁaˈʔel] ( listen); Arabic: دولة إِسْرَائِيل‎ Dawlat Isrāʼīl [dawlat ʔisraːˈʔiːl]), is a sovereign state in Western Asia. The country is situated in the Middle East at the southeastern shore of the Mediterranean Sea and the northern shore of the Gulf of Aqaba in the Red Sea. It shares land borders with Lebanon to the north, Syria in the northeast, Jordan on the east, the Palestinian territories (which are claimed by the State of Palestine and are partially controlled by Israel) comprising the West Bank and Gaza Strip to the east and west, respectively, and Egypt to the southwest. It contains geographically diverse features within its relatively small area. Israel's financial and technology center is Tel Aviv while Jerusalem is both the self-designated capital and most populous individual city under the country's governmental administration. Israeli sovereignty over Jerusalem is internationally unrecognized.[note 1]"
66,Beaverdell,"Beaverdell is an unincorporated settlement in the Monashee Country of the Southern Interior of British Columbia, Canada, which lies to the east of the Okanagan Valley and north of the Boundary Country region. It is located midway along the West Kettle River between Kelowna and Rock Creek along British Columbia Highway 33."
67,Togo,"Togo (), officially the Togolese Republic (), is a country in West Africa bordered by Ghana to the west, Benin to the east and Burkina Faso to the north. The sovereign state extends south to the Gulf of Guinea, where its capital Lomé is located. Togo covers , making it one of the smallest countries in Africa, with a population of approximately /1e6 round 1 million."
68,Dubai,"Dubai (/ duːˈbaɪ / doo - BY; Arabic: دبي ‎ Dubay, Gulf pronunciation: (dʊˈbɑj)) is the largest and most populous city in the United Arab Emirates (UAE). It is located on the southeast coast of the Persian Gulf and is the capital of the Emirate of Dubai, one of the seven emirates that make up the country. Abu Dhabi and Dubai are the only two emirates to have veto power over critical matters of national importance in the country's Federal Supreme Council. The city of Dubai is located on the emirate's northern coastline and heads the Dubai - Sharjah - Ajman metropolitan area. Dubai will host World Expo 2020."
69,Mohammad Ebrahimi,Mohammad Ebrahimi (born 1 November 1984) is an Iranian footballer who plays as a forward for Pars Jonoubi in the Persian Gulf Pro League
70,Saanich—Gulf Islands,"Saanich—Gulf Islands is a federal electoral district in British Columbia, Canada, that has been represented in the House of Commons of Canada since 1988. It is named for its geographical location across the Gulf Islands and Saanich Peninsula in the Vancouver Island region."
71,Oulujärvi,"Oulujärvi (, ) is a large lake in Finland located in the Kainuu region. With an area of it is the fifth largest lake in the country. The lake is drained by the Oulu River, which flows northwestward from the lake into the Gulf of Bothnia. Its nickname is the ""Kainuu sea"", and it is bordered by three municipalities: Vaala, Paltamo and Kajaani. About 40 percent of the lake is in the Vaala municipality."
72,Saudi Arabia,"The area of modern - day Saudi Arabia formerly consisted of four distinct regions: Hejaz, Najd and parts of Eastern Arabia (Al - Ahsa) and Southern Arabia ('Asir). The Kingdom of Saudi Arabia was founded in 1932 by Ibn Saud. He united the four regions into a single state through a series of conquests beginning in 1902 with the capture of Riyadh, the ancestral home of his family, the House of Saud. Saudi Arabia has since been an absolute monarchy, effectively a hereditary dictatorship governed along Islamic lines. The ultraconservative Wahhabi religious movement within Sunni Islam has been called ``the predominant feature of Saudi culture '', with its global spread largely financed by the oil and gas trade. Saudi Arabia is sometimes called`` the Land of the Two Holy Mosques'' in reference to Al - Masjid al - Haram (in Mecca) and Al - Masjid an - Nabawi (in Medina), the two holiest places in Islam. As of 2013, the state had a total population of 28.7 million, of which 20 million were Saudi nationals and 8 million were foreigners. As of 2017, the population is 33 million. The state's official language is Arabic."
73,Alghanim Industries,"Alghanim Industries is one of the largest privately owned companies in the Persian Gulf region, predominantly in Kuwait. A multinational company in outlook with operations in 40 countries, Alghanim Industries is a multibillion-dollar conglomerate with more than 30 businesses. They also fund projects and provide loans for non-UAE/Middle East countries. Alghanim Industries claimed that it collected revenues of $2.5 billion in 2009, although has not disclosed its financial standing since."
